City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,gilgit,35.9221,74.3087,291.48,42,54,1.32,PK,1682775934
129,east london,-33.0153,27.9116,295.67,56,0,7.72,ZA,1682775936
130,guerrero negro,27.9769,-114.0611,287.78,84,97,3.41,MX,1682775936
131,parry sound,45.3501,-80.033,281.18,87,100,5.51,CA,1682775940
132,maceio,-9.6658,-35.7353,303.84,70,75,3.09,BR,1682775941
133,puerto ayora,-0.7393,-90.3518,299.01,100,97,1.11,EC,1682775943
134,tindouf,27.6711,-8.1474,312.4,5,0,2.06,DZ,1682775951
135,isla vista,34.4133,-119.861,285.09,95,100,0.0,US,1682775951
136,elliot lake,46.3834,-82.6331,279.87,97,100,3.71,CA,1682775951
137,tisma,12.0819,-86.0174,300.25,78,40,2.06,NI,1682775952
138,panaba,21.2833,-88.2667,302.19,64,58,7.11,MX,1682775952
139,mazarron,37.5992,-1.3149,306.45,50,100,4.08,ES,1682775953
140,howrah,22.5892,88.3103,299.15,78,40,3.09,IN,1682775953
141,manokwari,-0.8667,134.0833,299.42,83,100,1.67,ID,1682775390
142,san antonio de pale,-1.4014,5.6325,301.01,78,99,4.3,GQ,1682775954
143,iqaluit,63.7506,-68.5145,271.0,86,100,5.14,CA,1682775954
144,lagos,6.5833,3.75,298.33,58,79,2.58,NG,1682775533
145,pasuquin,18.3328,120.6177,300.23,81,1,0.32,PH,1682775955
146,pailon,-17.65,-62.75,299.65,68,0,5.75,BO,1682775956
147,cruzeiro do sul,-29.5128,-51.9853,296.53,70,0,2.13,BR,1682775956
148,gaiman,-43.2897,-65.4929,292.43,30,0,12.15,AR,1682775957
149,marineo,37.95,13.4169,298.97,48,61,1.52,IT,1682775957
150,karema,-6.8205,30.4389,298.28,72,96,1.6,TZ,1682775957
151,novodvinsk,64.4165,40.8122,275.01,99,100,3.98,RU,1682775958
152,camana,-16.6228,-72.7111,294.96,77,58,3.58,PE,1682775958
153,ciudad bolivar,8.1222,-63.5497,301.85,63,100,4.68,VE,1682775959
154,saudarkrokur,65.7461,-19.6394,272.99,52,6,3.7,IS,1682775959
155,wang sai phun,16.3885,100.538,306.94,47,64,0.88,TH,1682775960
156,vila velha,-20.3297,-40.2925,298.12,87,100,1.03,BR,1682775961
157,sooke,48.3746,-123.7276,285.91,70,19,5.66,CA,1682775820
158,xiva,41.3783,60.3639,304.14,10,100,4.3,UZ,1682775962
159,khanty-mansiysk,61.0042,69.0019,274.21,60,40,2.0,RU,1682775386
160,sao vicente,-23.9631,-46.3919,298.3,78,75,1.03,BR,1682775963
161,ilomantsi,62.6716,30.9328,279.49,65,98,3.89,FI,1682775964
162,kayangel,8.0823,134.7173,301.91,79,100,6.51,PW,1682775964
163,badger,64.8,-147.5333,274.16,85,20,0.0,US,1682775965
164,ola,59.5833,151.2833,272.12,88,23,1.05,RU,1682775965
165,yuzhno-kurilsk,44.0306,145.8556,277.09,99,100,2.35,RU,1682775435
166,mulayjah,27.271,48.4242,311.23,6,0,4.75,SA,1682775966
167,constantia,44.1833,28.65,290.76,46,100,6.22,RO,1682775967
168,amahai,-3.3333,128.9167,302.64,83,65,1.28,ID,1682775967
169,belomorsk,64.5232,34.7668,277.47,90,77,2.02,RU,1682775968
170,college,64.8569,-147.8028,274.21,81,20,0.0,US,1682775968
171,wailua homesteads,22.0669,-159.378,295.59,90,40,5.14,US,1682775969
172,papao,-17.75,-149.55,297.97,82,73,5.91,PF,1682775970
173,belmonte,-15.8631,-38.8828,302.07,64,31,2.95,BR,1682775970
174,cockburn town,21.4612,-71.1419,299.01,75,88,4.78,TC,1682775971
175,muisne,0.6,-80.0333,299.83,81,100,1.25,EC,1682775972
176,ushuaia,-54.8,-68.3,275.96,87,100,5.14,AR,1682775973
177,chernyshevsk,52.5243,117.0174,276.72,53,22,1.41,RU,1682775974
178,tambo,-14.8,-73.9167,280.49,64,79,0.76,PE,1682775974
179,maputo,-25.9653,32.5892,305.97,73,20,3.13,MZ,1682775975
180,erenhot,43.6475,111.9767,281.87,28,4,1.25,CN,1682775976
181,northam,51.0333,-4.2167,285.51,90,100,0.84,GB,1682775438
182,ponta delgada,37.7333,-25.6667,291.55,88,40,3.6,PT,1682775978
183,dudinka,69.4058,86.1778,267.94,84,43,12.82,RU,1682775978
184,lata,40.1629,-8.3327,296.52,49,80,4.21,PT,1682775979
185,uturoa,-16.7333,-151.4333,300.6,79,100,5.82,PF,1682775980
186,bechar,31.6167,-2.2167,309.33,6,40,2.06,DZ,1682775980
